n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
40,744,1,1,Sex: Female,0.03497193887597253,0.013008693899798654,2.6883512784103423,62.80248016578722
40,744,1,2,Age,0.00016373461688981718,5.33226147322241e-5,3.070641185021794,67.43351177344081
40,744,1,3,BMI,0.0005553427003161011,0.0001609233944677358,3.4509755536348945,71.02268664445607
40,744,1,4,SmokingPackYears,6.0306501149993196e-5,1.1247029194888717e-5,5.36199383010403,81.35022098709504
40,744,1,5,PercentEmphysema,0.00025425234298239645,7.341547600692232e-5,3.463198181244825,71.12495596077738
40,744,1,6,COPD: 1,0.044314352735659396,0.008658184183135863,5.118203978840446,80.46189631882247
40,744,1,7,NHW: 1,0.22406542995006862,0.052263108861732736,4.2872579689596355,76.6750681381866
40,744,1,8,CurrentSmoker: 1,0.03813715708610548,0.011325129195946694,3.3674809731755566,70.30421231877092
40,744,1,9,Site: UIA,0.03203262482688291,0.01173129502816813,2.730527597334229,63.37704108992401
40,744,2,1,Sex: Female,0.02305568367215958,0.00922190216468482,2.50010065824067,60.00161046700801
40,744,2,2,Age,0.0002812046535151894,6.572277632861105e-5,4.278648426371678,76.62813345830317
40,744,2,3,BMI,0.0004470898148352001,0.00015732296834031605,2.8418597713467344,64.81177537039035
40,744,2,4,SmokingPackYears,0.000107667371266417,2.529587853976778e-5,4.256320692604235,76.5055297234159
40,744,2,5,PercentEmphysema,0.0002682750316755546,5.56374344924595e-5,4.8218440358157375,79.26104634301336
40,744,2,6,COPD: 1,0.04075798701367987,0.008163982575592373,4.992414748107483,79.96961289365876
40,744,2,7,NHW: 1,0.23081297868668996,0.034780728280306976,6.636231904821194,84.9312077344147
40,744,2,8,CurrentSmoker: 1,0.07025733670945214,0.015566284506482168,4.513430078975835,77.84390181077282
40,744,2,9,Site: UIA,0.03785128014426048,0.013460473156369434,2.8120319177895636,64.43852597569149
40,744,3,1,Sex: Female,0.03801894465322504,0.014762099853927405,2.575442859039477,61.17172638910908
40,744,3,2,Age,0.0001737277356542308,4.08841364655751e-5,4.249270026786832,76.46654616684434
40,744,3,3,BMI,0.0003909676730531638,0.00012941690018218618,3.020993954443202,66.89831177817403
40,744,3,4,SmokingPackYears,4.11106585738194e-5,7.46041294179878e-6,5.510507111943753,81.85284984330119
40,744,3,5,PercentEmphysema,0.0007744493367745366,0.0002624700794784019,2.950619507997156,66.10881215657699
40,744,3,6,COPD: 1,0.06996937479701158,0.01117108559578703,6.263435562914248,84.03432126098667
40,744,3,7,NHW: 1,0.16427802314375275,0.04012811247602934,4.093838783019878,75.5730488423793
40,744,3,8,CurrentSmoker: 1,0.09310198720841126,0.031123850325933542,2.9913389967318804,66.57015466677207
40,744,3,9,Site: UIA,0.04248470216606813,0.009957212518265476,4.266726464674159,76.56282847566213
