covariate,n_train,n_test,mean_mse_mlm,mean_mse_bayes,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
Age,40,744,0.00020027437930206002,5.250100767616981e-5,3.814676863677885,73.78545979813715,100
Age,60,724,0.0001161858737753679,3.966095746785389e-5,2.9294772792497303,65.86421724164693,100
Age,80,704,8.591326371229156e-5,3.477981189898422e-5,2.4702049557318264,59.51752919612541,100
Age,100,684,6.573483385671286e-5,3.1097887651312924e-5,2.1138038246767414,52.6919202091553,100
Age,125,659,5.4898012345224854e-5,2.910638036631126e-5,1.8861160905038445,46.98099416919419,100
Age,150,634,4.625551682629685e-5,2.7287203041315326e-5,1.6951358758265462,41.00767883799278,100
Age,200,584,3.6821948642333157e-5,2.3937583872199685e-5,1.5382483394699222,34.990991094155945,100
Age,250,534,3.270710134426696e-5,2.382154721930957e-5,1.3730049120300138,27.167048621735745,100
Age,300,484,2.9515049192827713e-5,2.305088780454023e-5,1.2804300399663682,21.901238741144645,100
Age,400,384,2.8355135237513037e-5,2.431056807032126e-5,1.1663707386636288,14.263967120287013,100
Age,500,284,3.0398062233058373e-5,2.757092003391063e-5,1.1025407275372212,9.30040269498883,100
Age,600,184,4.018479627147862e-5,3.815376859342274e-5,1.0532326884848278,5.054219173676422,100
BMI,40,744,0.0007244431932121216,0.00021290120688679832,3.4027199930215297,70.61174583712881,100
BMI,60,724,0.00043452828130179566,0.00016833025624944962,2.5814033138395844,61.26138079087695,100
BMI,80,704,0.0003231583968302837,0.00014789042353523284,2.1851205041230792,54.23593352800857,100
BMI,100,684,0.00025053112895598734,0.00013494757533227247,1.856507079427853,46.135406049289905,100
BMI,125,659,0.00020622778569189977,0.00011962964949232524,1.7238852288464672,41.99149785225858,100
BMI,150,634,0.00016726961235573508,0.00011140165270005144,1.5015002767158934,33.39994567385516,100
BMI,200,584,0.0001402840545406494,9.826590383874335e-5,1.4275964404790784,29.952192955565504,100
BMI,250,534,0.0001204122121089629,9.408404259908255e-5,1.2798367160100868,21.865032664673233,100
BMI,300,484,0.00011308666073643661,9.348975656024129e-5,1.2096155225686978,17.329103228070807,100
BMI,400,384,0.00010431668882536141,9.347642460520214e-5,1.115967895284219,10.391687410925366,100
BMI,500,284,0.00011412427820941578,0.00010557072218933667,1.0810220470476528,7.494948624676956,100
BMI,600,184,0.00014998556150700481,0.00014412038528390143,1.0406963679117955,3.910493892993472,100
COPD: 1,40,744,0.052974098141654755,0.012170402013519974,4.352699120604757,77.02574948803121,100
COPD: 1,60,724,0.03179112116248477,0.009444676879733011,3.36603587050227,70.29146335713936,100
COPD: 1,80,704,0.02386734318825344,0.00802920149115844,2.972567473183426,66.35904789306379,100
COPD: 1,100,684,0.019150208736947148,0.007546989363357648,2.5374633267572593,60.59056343967162,100
COPD: 1,125,659,0.01573292737827064,0.007123622075911094,2.2085572775501903,54.721572758609405,100
COPD: 1,150,634,0.013398460150768697,0.007067434591893558,1.8958024975762648,47.25188930395047,100
COPD: 1,200,584,0.010689955846148201,0.006362998350044447,1.6800186418520018,40.47685096531845,100
COPD: 1,250,534,0.00948492781456063,0.006622170312521547,1.4322989846132514,30.182174899047386,100
COPD: 1,300,484,0.0086012468884084,0.006241169094949266,1.378146747436959,27.438786772179846,100
COPD: 1,400,384,0.007984294090382512,0.006501277992808423,1.2281114727311415,18.574166742686206,100
COPD: 1,500,284,0.008733466252979834,0.007923970535903425,1.102157840366593,9.268893857581595,100
COPD: 1,600,184,0.011425159883662954,0.010683636580560691,1.069407387410715,6.4902663127067495,100
