n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
10,34,1,1,Status: Diseased,0.16030806016108318,0.03535581453923174,4.534135678961692,77.9450799269201
10,34,1,2,Sex: Male,0.14591081072493445,0.09827823609768346,1.4846706302289214,32.6449934659373
10,34,1,3,Age,0.04713699952526972,0.019470665053617157,2.42092395896425,58.69345683918827
10,34,1,4,Weight,2.321171019215696,0.54606501950624,4.250722782635908,76.47458911964398
10,34,1,5,Length,0.00932633547142253,0.002766389692563611,3.371302133062758,70.3378706348244
10,34,2,1,Status: Diseased,0.25781155155667285,0.08919945024210707,2.890281844304143,65.40129807857001
10,34,2,2,Sex: Male,1.4619131934311778,0.5893632583777879,2.4804959804502715,59.68548194065304
10,34,2,3,Age,0.1735750307968937,0.04116050963550329,4.217028222779228,76.28661827307025
10,34,2,4,Weight,12.3174607485245,5.004661834428234,2.4611974107400862,59.36937054962617
10,34,2,5,Length,0.007783176480674645,0.0031896912199264006,2.4401034282102816,59.01813060713332
10,34,3,1,Status: Diseased,0.8847555753696722,0.6099627647838619,1.4505075169353692,31.058613049258852
10,34,3,2,Sex: Male,1.1947486878403797,0.7594174621058725,1.5732436340446125,36.437054098917585
10,34,3,3,Age,0.03777015311954116,0.017400045384216557,2.170692793353411,53.93175842007829
10,34,3,4,Weight,4.922348167781518,0.9012396305699449,5.461752902131722,81.69085973095378
10,34,3,5,Length,0.009530777930895807,0.0026457456828381473,3.602303121089076,72.23998185644987
10,34,4,1,Status: Diseased,0.0870792745629912,0.05447287416252543,1.5985805027137217,37.4445016499064
10,34,4,2,Sex: Male,0.22251320760939505,0.1590389451042587,1.3991114406821896,28.526065120844677
10,34,4,3,Age,0.049956943645048206,0.029047320054932387,1.7198469101649623,41.855289904606494
10,34,4,4,Weight,1.7831043732067309,0.6422748802131486,2.7762324639179115,63.97996158474544
10,34,4,5,Length,0.008579225462004564,0.0036664785962608817,2.339908780799582,57.26329127846237
10,34,5,1,Status: Diseased,0.1405372472034067,0.06737167691934008,2.0859989483661394,52.061337289587286
10,34,5,2,Sex: Male,0.083384531708322,0.046245532389253816,1.8030829660790815,44.53943502252902
10,34,5,3,Age,0.028914900048997542,0.01699049331265681,1.701828164545277,41.239660922688
10,34,5,4,Weight,0.9007065335542908,0.3702851022782121,2.432467652661729,58.88948414562678
10,34,5,5,Length,0.003398272777072165,0.0016812760286994168,2.021246195784379,50.52557169504366
10,34,6,1,Status: Diseased,0.23912898381262648,0.06471109420149895,3.695332102838826,72.9388327714367
10,34,6,2,Sex: Male,0.4454194772184074,0.3160763649433226,1.4092147551060266,29.038494922318492
10,34,6,3,Age,0.07672407470899303,0.03245791094583163,2.3638019969010435,57.695272221996376
10,34,6,4,Weight,2.8670874273666467,1.2996018919443793,2.206127464986295,54.671703431868025
10,34,6,5,Length,0.004388070053931487,0.001385008513714485,3.168262151806579,68.43695527436742
10,34,7,1,Status: Diseased,0.18691470043412203,0.09394107446018611,1.9897015390572288,49.74120588589255
10,34,7,2,Sex: Male,0.298489762994143,0.12966634130334703,2.301983382841374,56.55919988589646
10,34,7,3,Age,0.020282012779067674,0.011427071662664628,1.7749090386240038,43.659084593132235
10,34,7,4,Weight,8.429960024846858,2.544899567005835,3.31249222332377,69.8112498813176
10,34,7,5,Length,0.015001484937840258,0.005713061806530834,2.625822272864517,61.91669137953129
10,34,8,1,Status: Diseased,0.2757079210564011,0.15382228527368105,1.7923795668869484,44.208245927684494
10,34,8,2,Sex: Male,0.18437398465537505,0.13639066303287922,1.3518079651165613,26.02499572387311
10,34,8,3,Age,0.031874220413504004,0.01927332057700441,1.6538001475227946,39.5332016690235
10,34,8,4,Weight,2.3561535809930856,1.231676881892121,1.912964037592007,47.72510197009371
10,34,8,5,Length,0.006304929927973514,0.003740367831245578,1.6856443570347766,40.67550513685438
10,34,9,1,Status: Diseased,0.1332559827988963,0.08283891509553089,1.6086157411069884,37.83474981341175
