n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
20,78,1,1,SAMS status,0.08632125289502991,0.05578960531576944,1.5472640899044043,35.36979197508657
20,78,1,2,Fish Oil,0.05325434798654887,0.03505469997772552,1.5191785415475751,34.17495227510863
20,78,1,3,Interaction SAMS-Fish Oil,0.0869062049510533,0.029875643185188004,2.9089316809801904,65.6231183929682
20,78,2,1,SAMS status,0.08235632511145274,0.054277058629554197,1.5173321324123707,34.09485117736725
20,78,2,2,Fish Oil,0.07426246294683767,0.04449446525792046,1.6690269793413959,40.08485109122659
20,78,2,3,Interaction SAMS-Fish Oil,0.06484487089401436,0.021526430161363238,3.01233741070553,66.80318756968906
20,78,3,1,SAMS status,0.10580920618976807,0.04725463230917,2.2391287587954687,55.33977239710206
20,78,3,2,Fish Oil,0.03741634243299949,0.024873126407834498,1.5042878735667966,33.523362278463786
20,78,3,3,Interaction SAMS-Fish Oil,0.10094202694169564,0.046618807260585315,2.1652640398425387,53.81625605010642
20,78,4,1,SAMS status,0.09564804241665227,0.02706926104318936,3.533455984041994,71.6990956016925
20,78,4,2,Fish Oil,0.043090494569740276,0.02189143331811191,1.968372465319084,49.19660696239752
20,78,4,3,Interaction SAMS-Fish Oil,0.07260187015757481,0.018479234386107657,3.928835396565755,74.54716476862042
20,78,5,1,SAMS status,0.0407379573046406,0.012897002426485948,3.158715177177841,68.34155838978012
20,78,5,2,Fish Oil,0.07218519177196074,0.031907237387141206,2.262345401330539,55.79808461555533
20,78,5,3,Interaction SAMS-Fish Oil,0.0849000197427745,0.04079943789512753,2.0809115057174274,51.94413615127598
20,78,6,1,SAMS status,0.1199920747263054,0.052140154026589544,2.3013371741309756,56.547001836981266
20,78,6,2,Fish Oil,0.08673141997839846,0.04610429428113906,1.8812004679980465,46.84245421944907
20,78,6,3,Interaction SAMS-Fish Oil,0.07862497424936327,0.04714184649923725,1.6678382390183935,40.04214697772187
20,78,7,1,SAMS status,0.13381773953930634,0.07930794038634294,1.6873183049190639,40.73435954053926
20,78,7,2,Fish Oil,0.04685649185203671,0.023192147819821953,2.0203601760415317,50.503874910102
20,78,7,3,Interaction SAMS-Fish Oil,0.0331835627780534,0.016654901922342247,1.9924201855273764,49.80978373618973
20,78,8,1,SAMS status,0.06810350499645468,0.02335039368045788,2.9165891559871646,65.71337454412449
20,78,8,2,Fish Oil,0.08050722004182578,0.034937706943729586,2.304307497097337,56.60301408298727
20,78,8,3,Interaction SAMS-Fish Oil,0.03183981364808029,0.012920502318258574,2.464286052028019,59.420295416717714
20,78,9,1,SAMS status,0.1240540390709844,0.07310121196937645,1.6970175422392872,41.07308998818851
20,78,9,2,Fish Oil,0.041672333406242185,0.029808002807524436,1.3980250094354807,28.470521396194638
20,78,9,3,Interaction SAMS-Fish Oil,0.05174317896381528,0.025846485026726786,2.001942581759562,50.048517419462016
20,78,10,1,SAMS status,0.12039395440713392,0.04570251018863221,2.6342963200537737,62.03919838526035
20,78,10,2,Fish Oil,0.05066584640233209,0.029631862286418637,1.70984347566822,41.51511443998157
20,78,10,3,Interaction SAMS-Fish Oil,0.08249649582018445,0.017187737730884948,4.799729732432736,79.16549356429802
20,78,11,1,SAMS status,0.14818106283713525,0.0925453399558049,1.6011726026172604,37.545771245060635
20,78,11,2,Fish Oil,0.2214768024174586,0.1620214352145982,1.3669598848085223,26.84496369547262
20,78,11,3,Interaction SAMS-Fish Oil,0.05087099404793477,0.020888108635450854,2.435404513436779,58.939059425950305
20,78,12,1,SAMS status,0.049965369174229855,0.018061557501983804,2.7663931623140403,63.851848189086866
20,78,12,2,Fish Oil,0.07640354878800257,0.05300506660101128,1.4414385961085627,30.62486305697032
20,78,12,3,Interaction SAMS-Fish Oil,0.09766817839644754,0.03865101059694977,2.5269243129222407,60.42619896107777
20,78,13,1,SAMS status,0.17275901462166598,0.09995295251481605,1.7284033165109143,42.14313346617063
20,78,13,2,Fish Oil,0.039902330641035606,0.023514614029136887,1.6969162492564305,41.06957250022276
20,78,13,3,Interaction SAMS-Fish Oil,0.08365478251001063,0.019604319191337618,4.267160807449738,76.56521408206201
20,78,14,1,SAMS status,0.04554233935904388,0.022081494832351466,2.0624663187349106,51.51435972959856
