heterogeneity,n,m,rep,coef_mse_mlm,coef_mse_bayes,ratio_coef_mse,test_mse_mlm,test_mse_bayes,ratio_test_mse
moderate,60.0,300.0,1,0.04043996628769653,0.009150102751953229,4.419618815653627,1.476061775010522,1.1085503496218023,1.331524342141159
moderate,60.0,300.0,2,0.028241845250040257,0.0072952516935881435,3.8712639996865694,1.20847511804905,1.0150861852539286,1.190514791359065
moderate,60.0,300.0,3,0.030485581001577333,0.008081314227364432,3.772354365129003,1.3303203053886452,1.0972899858341256,1.2123689476463937
moderate,60.0,300.0,4,0.03259221410670659,0.007502358154849753,4.344262621698218,1.2986578617627145,1.048542162529397,1.2385366160479077
moderate,60.0,300.0,5,0.03007506201496264,0.0072052283403805754,4.174060917183104,1.3180947415887625,1.087554681911459,1.2119802006388425
moderate,60.0,300.0,6,0.030310637852815195,0.00817399144125791,3.708180767088084,1.2634641200538899,1.0709987494599633,1.1797064382110387
moderate,60.0,300.0,7,0.031066354790057905,0.00791616416747738,3.924420228384137,1.354016065400754,1.113128237680544,1.2164061781616058
moderate,60.0,300.0,8,0.033660708335577265,0.007592102949237312,4.4336475098719195,1.3831771765540364,1.0935691731122528,1.2648282436652554
moderate,60.0,300.0,9,0.030709362344035717,0.00792952809642576,3.8727856148057516,1.3595455437022728,1.084971705402085,1.2530700449911105
moderate,60.0,300.0,10,0.03140578236022227,0.007629525853985761,4.116347851919984,1.3623498680478046,1.0625185089062292,1.2821893045893626
moderate,60.0,770.0,1,0.027965939460986078,0.0072235235287468474,3.8715094302236834,1.3457762442714076,1.100608407238043,1.2227566457070855
moderate,60.0,770.0,2,0.031102436408772492,0.006926300759441454,4.4904830859930245,1.2930696448466124,1.0443640960491098,1.238140653952362
moderate,60.0,770.0,3,0.031394892706095356,0.007856799173312428,3.995888403605366,1.3432522889596914,1.1058752777267733,1.214650798343976
moderate,60.0,770.0,4,0.03422543289836968,0.007812401793502265,4.380910480927347,1.2865808919635435,1.0604318269946233,1.2132612952685988
moderate,60.0,770.0,5,0.032540623107216685,0.007424361606997938,4.382952343881668,1.331356171286618,1.0872535519376578,1.2245130576156138
moderate,60.0,770.0,6,0.03433286611994352,0.00758060706056804,4.529039144969327,1.249127671191608,1.0412590005763822,1.1996320516799004
moderate,60.0,770.0,7,0.03065221818773178,0.007033382721231869,4.358104684848312,1.2997550611140327,1.0617284731756351,1.2241878163316642
moderate,60.0,770.0,8,0.02926437064582582,0.006869134373935457,4.260270516306658,1.2134733083311617,1.048712752250276,1.1571074211955092
