heterogeneity,n,m,ratio_coef_mse_mean,ratio_test_mse_mean
moderate,60.0,300.0,4.063694269142039,1.2381125107451738
moderate,60.0,770.0,4.239548952216309,1.2145880555941282
moderate,200.0,300.0,2.187901225164211,1.0415777338394387
moderate,200.0,770.0,2.1793799157574445,1.0417693422147107
moderate,400.0,770.0,1.5524237266772118,1.0123539697844004
large,60.0,300.0,2.7007934268258955,1.1855202629347643
large,60.0,770.0,2.8032196439266412,1.197433437526927
large,200.0,300.0,1.5018521334844572,1.023499602592342
large,200.0,770.0,1.5214951491652715,1.0251683251307786
large,400.0,770.0,1.257319234389451,1.007063734488352
