heterogeneity,n,m,CoefMSE_MatrixLM,CoefMSE_Bayes,TestMSE_MatrixLM,TestMSE_Bayes,n_repetitions,ratio_coef_mse_mean,ratio_test_mse_mean
low,50,300,0.04141631982497035,0.006535047578449898,1.4253482970229363,1.068508475679053,100,6.33756974647677,1.3339606839497518
low,75,300,0.024515464382339834,0.003013300383974632,1.2458808196231852,1.0304497043157288,100,8.135751919296945,1.2090651435050037
low,100,300,0.016885226786593446,0.0021685349402270197,1.1681636996930767,1.0218733432089975,100,7.786467477819732,1.1431589907460373
low,150,300,0.010640256068553688,0.0016603810351501214,1.1057128802329752,1.0171448117109232,100,6.408321851009134,1.0870751809401387
low,200,300,0.007798101787339014,0.0014966613350640798,1.078288856498093,1.0152931136520202,100,5.210331559079888,1.0620468532673057
low,300,300,0.005029569963979591,0.0013028304340809366,1.0495022787083663,1.0123054773328426,100,3.8604946832759786,1.0367446410282473
low,400,300,0.003746862298294595,0.0011756067595448145,1.037111228665651,1.0114052403091816,100,3.1871731494171995,1.0254161114971199
low,550,300,0.0026688080540179003,0.0010368952889843143,1.0263590842220014,1.0097031865216812,100,2.5738452883049727,1.0164958355313287
low,700,300,0.002085283925578231,0.0009247526419798764,1.0205287182553482,1.0089637163626421,100,2.254964009741763,1.0114622574678882
low,850,300,0.0017205918532078035,0.0008488995106583953,1.0178705087947058,1.0092610678474432,100,2.0268498586756576,1.0085304399639876
low,1000,300,0.001451477244642622,0.0007762076724361975,1.015438477629899,1.0086457703916807,100,1.8699599297788827,1.0067344824492552
moderate,50,300,0.040951903564041256,0.009826520834750297,1.4128367114036862,1.098733658647602,100,4.167487583114853,1.2858773373182215
moderate,75,300,0.024269165487297295,0.006322036500448912,1.24652424934889,1.0664789917944744,100,3.8388208428682753,1.1688221323998784
moderate,100,300,0.01700969683591214,0.005196859576768473,1.1683005580647752,1.0510587398017275,100,3.273072243850999,1.1115463996666488
moderate,150,300,0.010571759365179288,0.004173126478285734,1.106621993904217,1.0429378323220835,100,2.5332947420088807,1.0610622796570164
moderate,200,300,0.007678778909240881,0.0035894294527726595,1.0748683590965449,1.0339081447551621,100,2.1392756175523657,1.0396168794579739
moderate,300,300,0.004985930070436993,0.002854406903581278,1.0478097095007635,1.0261538479011432,100,1.7467481823216593,1.0211039130671433
moderate,400,300,0.003716953832474584,0.0023844683418417,1.0369506748411514,1.0236779759888193,100,1.5588186964997435,1.012965697381065
moderate,550,300,0.0026770712891651645,0.0019066662552987034,1.0262566125984909,1.0186360511995807,100,1.404058671372336,1.0074811424452688
moderate,700,300,0.0021055940303705144,0.0015972002842982434,1.0208523845617572,1.0157304646706309,100,1.3183030651009697,1.00504259748947
moderate,850,300,0.0017109063796041323,0.0013602504609025899,1.01729158618376,1.0138534703468958,100,1.257787759519571,1.0033911368234383
moderate,1000,300,0.0014507657556537446,0.0011905004180616382,1.0146525446210408,1.012018340895489,100,1.2186184344360567,1.0026029209344378
high,50,300,0.042566828359969194,0.01882682380368714,1.42174307626388,1.1861298709515726,100,2.2609670544445577,1.198640310038973
high,75,300,0.024253839567513515,0.01311064924517674,1.2356906894351978,1.1257376035945796,100,1.8499342873074136,1.0976720378616902
high,100,300,0.017042878216921194,0.010503970563229098,1.1718021910824232,1.106198111121853,100,1.6225177055029678,1.0593059048835634
high,150,300,0.010582584134011924,0.007572221656275983,1.104272708025029,1.073918981783466,100,1.3975534016811173,1.02826444709186
high,200,300,0.007708363335339886,0.005952690111270079,1.0797212048460656,1.0616846522245857,100,1.294937782960654,1.0169886157661667
high,300,300,0.0050322306618691935,0.004227737824865086,1.049340355683289,1.0412903839389476,100,1.1902891972800562,1.0077307654699454
high,400,300,0.003713267623851675,0.0032538395877817405,1.0372915986134357,1.0326812940040362,100,1.1411956624398756,1.0044644021695444
high,550,300,0.002657498710640469,0.0024151479743194297,1.0267033986579812,1.024304383570908,100,1.1003461232595209,1.0023420919851087
high,700,300,0.0020982973846427277,0.00194231447853268,1.0213813491053152,1.019770208475428,100,1.0803077502814502,1.0015799055674472
high,850,300,0.0017178320403712583,0.001613506629050525,1.0175716928726657,1.016520432536815,100,1.064657565976115,1.0010341753123715
high,1000,300,0.0014550399150461998,0.0013804752876376066,1.0148879326079177,1.014146264395653,100,1.0540137357592216,1.0007313227276016
